,epsilon,min_samples,sc,db,ch
93,0.014000000000000002,4,-0.05225068023212469,1.5091100821800572,193.62597955750576
94,0.015,4,-0.0525179292419017,1.4790039738110572,283.63199592438764
95,0.016,4,-0.10729494155244076,1.2770188548688284,371.5297053223607
96,0.017,4,-0.12734659494300818,2.465922745433845,388.15949297407803
97,0.018000000000000002,4,-0.15533368210160842,1.6373668399284595,394.43764555438537
98,0.019000000000000003,4,-0.27324912752127445,1.8330595406797594,229.5192479393027
99,0.02,4,-0.2665457670277476,1.7693167125968512,269.6313517409655
100,0.001,5,,,
101,0.002,5,-0.21477938669590685,2.015169046486364,1.7542999700044444
102,0.003,5,-0.4904713991642743,1.2679733133963982,5.705065318019719
103,0.004,5,-0.583409503403331,1.1431862738490925,9.195312901965895
104,0.005,5,-0.6858689566523947,1.0022492317581104,10.415477104645435
105,0.006,5,-0.6897108926729021,0.9605143404061514,11.956565795787107
106,0.007,5,-0.6051237144540799,0.9392495777606653,14.651276540577207
107,0.008,5,-0.48679531586526714,0.9625064376273056,17.372995888755014
108,0.009000000000000001,5,-0.3782157197727144,0.9832843606200811,27.230813940167288
109,0.010000000000000002,5,-0.29286471453760843,1.0301735508735015,36.73791586799151
110,0.011,5,-0.24166471741741508,1.0853103090425742,50.5549252056071
111,0.012,5,-0.19195948567143786,1.1134582251901628,68.12800549142455
112,0.013000000000000001,5,-0.16018106529895804,1.1949950363817383,104.02194631915026
113,0.014000000000000002,5,-0.11419670240036721,1.6184106441484254,151.37568686677903
114,0.015,5,-0.09906588988333548,1.621383839690123,210.13278481189437
115,0.016,5,-0.08093921271138053,1.4513279272610689,303.17604535753674
116,0.017,5,-0.05804141303631041,1.317025402618226,451.2929848185882
117,0.018000000000000002,5,-0.1220797396019648,1.3874596478335133,447.86496538572027
118,0.019000000000000003,5,-0.23602977845561465,1.896881160041876,331.3991678667513
119,0.02,5,-0.23821251756569176,2.141110327905208,379.9841736411322
120,0.001,6,,,
121,0.002,6,-0.21477938669590685,2.015169046486364,1.7542999700044444
122,0.003,6,-0.28255519312211336,1.3778360591092624,4.736872417109213
123,0.004,6,-0.4843679800063834,1.24913618329767,7.5268770790828
124,0.005,6,-0.628452726743143,1.0227227463147663,11.830261237679386
125,0.006,6,-0.6792268312692239,1.0060319437813394,13.472413688776907
126,0.007,6,-0.6527908436822076,0.9424432477152505,16.60079239913519
127,0.008,6,-0.5737268521609775,0.8910784202404916,18.538728420059112
128,0.009000000000000001,6,-0.4823273856582574,0.9561291238812529,25.731000677792373
129,0.010000000000000002,6,-0.4010213272819843,0.9805137347382153,32.43568366748274
130,0.011,6,-0.3166359653501663,0.9884795617194782,47.19729257507793
131,0.012,6,-0.2865335408951936,1.0136135525243648,60.513680495595324
132,0.013000000000000001,6,-0.22601088368420746,1.124314620347584,85.10092949895663
133,0.014000000000000002,6,-0.17944531916810164,1.1713440584560597,122.85503412480391
134,0.015,6,-0.13931113396421066,1.1795482403821729,166.68551272348893
135,0.016,6,-0.13742784118496665,1.1745241438556768,230.2406955794345
136,0.017,6,-0.09039425566500332,1.1422586678263125,323.3707317369288
137,0.018000000000000002,6,-0.03947431373205005,1.4158180189042286,458.11345932334393
138,0.019000000000000003,6,-0.1126211834935989,1.3457571436019855,577.5878454340739
139,0.02,6,-0.14958143865158544,1.426861259377491,622.658732642244
140,0.001,7,,,
141,0.002,7,,,
142,0.003,7,-0.2823812233547888,1.7066278922042464,4.5878625129684165
143,0.004,7,-0.490264151785411,1.3290325386351436,8.139785534586501
144,0.005,7,-0.48271232943204945,1.3057981983054634,10.289373944272638
145,0.006,7,-0.5310759640887425,1.0486174000784363,15.869379083284999
146,0.007,7,-0.5776669044420973,1.0308707382571949,15.840687567726576
147,0.008,7,-0.6382120363186472,0.9115656056033236,19.287786654916804
148,0.009000000000000001,7,-0.5491266609099722,0.8832644052908601,25.267556347591523
149,0.010000000000000002,7,-0.47160929011847086,0.9449509010151567,34.59645662748252
150,0.011,7,-0.38875305152640555,0.9796210350148934,41.1783096367609
151,0.012,7,-0.32477901258395087,0.9855443739279557,55.848503812692634
152,0.013000000000000001,7,-0.2642026968234004,1.0610355086556498,76.56995032340737
